"user_id","total_orders","lifetime_value","first_purchase_ts","last_purchase_ts"
"70565cdf","1",NULL,"2021-01-08","2021-01-08"
"45913313","1",NULL,"2019-12-25","2019-12-25"
NULL,"0",NULL,NULL,NULL
"7c364c50","1",NULL,"2020-07-11","2020-07-11"
"f2939b5c","1",NULL,"2020-08-20","2020-08-20"
"1c173578","1",NULL,"2020-09-01","2020-09-01"
"59173a1e","3","5803.20","2020-09-12","2020-09-12"
"3a8bed4a","2","4391.18","2019-07-27","2019-07-27"
"0aec3a08","2","4076.20","2020-01-20","2020-01-20"
"c2ee44e9","3","3979.50","2020-12-25","2021-01-23"
"be7e95b2","2","3962.54","2021-01-29","2021-01-29"
"0c1b82d8","2","3940.84","2019-09-02","2019-09-02"
"66ad9bd8","2","3903.96","2020-11-22","2020-11-22"
"19bedbf0","2","3903.96","2020-11-18","2020-11-18"
"9a52dc5b","2","3903.96","2020-10-03","2020-10-03"
"04f0b421","2","3903.96","2020-12-23","2020-12-23"
"0172d02d","2","3868.80","2020-08-28","2020-08-28"
"af3a676a","2","3834.88","2021-01-28","2021-01-28"
"c2638422","2","3708.98","2020-12-30","2020-12-30"
"ffb701f6","2","3600.00","2019-09-11","2019-09-11"
"a0d577a0","2","3600.00","2021-01-09","2021-01-09"
"05fd1d23","2","3600.00","2020-09-17","2020-09-17"
"95c47b3a","2","3600.00","2020-06-25","2020-06-25"
"a5e4f844","2","3600.00","2020-12-03","2020-12-03"
"6089662e","2","3600.00","2020-12-08","2020-12-08"
"b01686c3","2","3600.00","2020-12-24","2020-12-24"
"dfce0d6c","2","3600.00","2020-11-18","2020-11-18"
"dc55016c","2","3600.00","2020-10-01","2020-10-01"
"9476f50b","2","3600.00","2020-12-25","2020-12-25"
"736f14b5","2","3600.00","2020-09-07","2020-09-07"
"3bc91ddd","2","3600.00","2020-08-22","2020-08-22"
"20889388","2","3600.00","2020-11-22","2020-11-22"
"82bde961","2","3600.00","2020-09-11","2020-09-11"
"43dbcafc","2","3600.00","2020-12-21","2020-12-21"
"fedb685a","2","3600.00","2021-01-12","2021-01-12"
"103ef63b","2","3600.00","2020-12-19","2020-12-19"
"20cf9a97","3","3594.00","2020-12-18","2020-12-18"
"3af1cec7","2","3556.52","2020-08-17","2020-08-17"
"c387e4e7","2","3465.04","2020-07-17","2020-07-17"
"b940c71d","2","3432.16","2020-11-19","2020-11-19"
"efe11070","2","3425.54","2019-11-25","2019-11-25"
"65add3c3","2","3412.32","2020-12-29","2020-12-29"
"4c3d64a2","2","3406.60","2020-11-23","2020-11-23"
"104eeef4","2","3405.70","2019-11-19","2019-11-19"
"7c03148f","2","3360.64","2021-01-20","2021-01-20"
"b9635f1d","2","3359.44","2020-09-28","2020-09-28"
"9f1e60bc","2","3339.58","2020-07-21","2020-07-21"
"d33e8101","2","3318.38","2020-12-04","2020-12-04"
"8dda864a","2","3278.68","2019-12-19","2019-12-19"
"903b7ec6","2","3276.88","2020-08-29","2020-08-29"
"71c04bc7","2","3264.64","2021-01-17","2021-01-17"
"b5b6fcb5","2","3231.80","2020-01-27","2020-01-27"
"85827279","3","3172.91","2019-07-16","2019-08-02"
"38d1c6c4","2","3152.54","2020-09-30","2020-09-30"
"47c3a16b","1","3146.88","2019-05-19","2019-05-19"
"09791a72","2","3119.56","2020-09-12","2020-09-12"
"f87e7996","2","3113.94","2020-12-23","2020-12-23"
"04edb4c9","2","3069.90","2019-12-19","2019-12-19"
"8def856e","2","3060.00","2020-08-31","2020-08-31"
"85a7e99a","2","3060.00","2020-12-26","2020-12-26"
"ec0cfc83","2","3060.00","2021-01-15","2021-01-15"
"664f5a0a","2","3060.00","2021-01-23","2021-01-23"
"9953c15f","2","3060.00","2021-01-06","2021-01-06"
"8008fcd5","2","3037.36","2020-08-13","2020-08-13"
"24c2feff","2","3030.30","2020-08-31","2020-08-31"
"238f656e","2","3028.06","2020-09-25","2020-09-25"
"d3389c7e","2","3007.36","2021-01-28","2021-01-28"
"1451965d","2","2998.00","2019-12-26","2020-12-29"
"de1bec78","2","2993.48","2021-01-18","2021-01-18"
"007d2e35","2","2880.00","2021-01-29","2021-01-29"
"c7c156d8","2","2879.88","2020-12-05","2020-12-05"
"64830d44","2","2868.96","2021-01-10","2021-01-10"
"637dc044","2","2804.68","2020-09-29","2020-09-29"
"f36b7e16","2","2797.66","2020-12-19","2020-12-19"
"a2f153ab","2","2788.52","2019-08-26","2020-06-16"
"3882f9f4","2","2721.32","2019-11-21","2019-11-21"
"d2a1831f","2","2700.00","2020-12-26","2020-12-26"
"4e187b3d","2","2684.72","2020-12-11","2020-12-11"
"f804726d","2","2622.44","2020-09-08","2020-09-08"
"df2f559d","2","2593.81","2020-06-07","2021-02-05"
"6c026d4a","3","2592.13","2019-07-08","2019-11-15"
"01f977c5","3","2580.26","2020-08-24","2021-01-05"
"0989cde1","2","2537.24","2020-12-29","2020-12-29"
