"user_id","total_orders","lifetime_value","customer_segment"
".56E880","1","168.00","1 order"
".99E45","1","178.40","1 order"
"0003cba8","1","24.00","1 order"
"0005fdf2","1","168.00","1 order"
"0007b840","1","108.68","1 order"
"000b5faa","1","168.00","1 order"
"000d8208","1","168.00","1 order"
"000dfcc4","1","151.99","1 order"
"00126ab7","1","141.42","1 order"
"0012f287","1","168.00","1 order"
"0015d2e1","1","16.40","1 order"
"001d9e6e","1","24.00","1 order"
"002287c5","1","480.00","1 order"
"002568cc","1","168.00","1 order"
"00272a28","1","168.00","1 order"
"002e219f","1","188.15","1 order"
"003488b9","1","447.92","1 order"
"0038d4cd","1","16.40","1 order"
"0043d4f0","1","22.84","1 order"
"004492ec","1","137.33","1 order"
"004addff","1","176.52","1 order"
"004b78bd","1","49.98","1 order"
"004bf15e","1","168.00","1 order"
"004ce40e","1","1244.12","1 order"
"00528d1a","1","160.74","1 order"
"00545a8a","1","168.00","1 order"
"00569cf5","1","168.00","1 order"
"005a0d41","1","480.00","1 order"
"005a47fd","1","168.00","1 order"
"005a66d1","1","1198.00","1 order"
"0060b9b6","1","159.38","1 order"
"00617b5c","1","24.00","1 order"
"006ac5a0","1","21.59","1 order"
"00706b0a","1","168.00","1 order"
"0070f697","1","480.00","1 order"
"00722ca8","1","168.00","1 order"
"0072ccc5","1","70.98","1 order"
"00745a9d","1","1198.00","1 order"
"0074fb9c","1","148.67","1 order"
"0079af07","1","323.02","1 order"
"007d2e35","2","2880.00","2-3 orders"
"007ee1ec","1","24.00","1 order"
"007f3e67","1","168.00","1 order"
"00806d7a","1","127.04","1 order"
"0084abc5","1","401.53","1 order"
"008b02f4","2","324.72","2-3 orders"
"008bab88","1","175.74","1 order"
"008ca0f0","1","480.00","1 order"
"008ffa20","1","168.00","1 order"
"009b4b64","1","168.00","1 order"
"009d4d75","1","21.96","1 order"
"009d973f","1","24.00","1 order"
"00a045b1","1","168.00","1 order"
"00a10f8c","1","168.00","1 order"
"00a3c285","1","24.00","1 order"
"00a41d8b","1","168.00","1 order"
"00a5ea0e","1","153.10","1 order"
"00a6ce49","1","168.00","1 order"
"00a9fbe0","1","24.00","1 order"
"00b41c9f","1","22.86","1 order"
"00b5af54","1","1951.98","1 order"
"00b6fd34","1","1198.00","1 order"
"00b9c1ba","1","24.00","1 order"
"00bad5ec","1","480.00","1 order"
